movie_title,sadness,joy,love,anger,fear,surprise
Mr__Jones_subtitle,0.09391255,0.460419575,0.017324952,0.322323803,0.092352844,0.013666276
Mr__Nobody_subtitle,0.126761197,0.482324318,0.029794957,0.247191394,0.099154707,0.014773424
Mufasa__The_Lion_King_subtitle,0.103267643,0.506287949,0.017798028,0.272047496,0.088953655,0.01164523
Murder_Company_subtitle,0.086190311,0.508774739,0.015597886,0.307812387,0.072544422,0.009080256
Mustang_subtitle,0.092394286,0.452027134,0.027187075,0.327242943,0.091548606,0.009599956
My_Fault_subtitle,0.112671275,0.447153367,0.027671328,0.30846522,0.09150642,0.012532389
My_Favourite_Cake_subtitle,0.116331384,0.493483781,0.018640529,0.261947859,0.100034043,0.009562406
Neruda_subtitle,0.106169467,0.445060755,0.022765194,0.321513837,0.092892243,0.011598502
Nineteen_Eighty_Four_subtitle,0.108390402,0.453340823,0.026789468,0.321790646,0.079340853,0.01034781
Nobody_Sleeps_in_the_Woods_Tonight_subtitle,0.09005507,0.489027346,0.018583916,0.292912916,0.095574086,0.013846667
Nomos_4000_subtitle,0.111193726,0.48598925,0.013322903,0.281426753,0.096422545,0.011644827
Non_Negotiable_subtitle,0.399300013,0.415133569,0.006149587,0.117684758,0.058007883,0.003724186
November_subtitle,0.109763601,0.413809496,0.037211485,0.345269742,0.083766396,0.010179277
No_Other_Land_subtitle,0.102892545,0.386273998,0.013590572,0.381738063,0.105601537,0.009903284
Number_24_subtitle,0.087606052,0.510460465,0.023892919,0.282366293,0.085214405,0.010459863
Oddity_subtitle,0.126966172,0.453334085,0.024030584,0.26300424,0.117686209,0.014978716
Once_Upon_a_Time_in_Anatolia_subtitle,0.089476829,0.486498316,0.014429688,0.305762831,0.092941201,0.010891137
Once_Upon_a_Time_in_the_West_subtitle,0.108464046,0.485601563,0.022732192,0.259522241,0.109917169,0.013762787
On_the_Path_subtitle,0.104684564,0.476394212,0.03367793,0.293073588,0.079637925,0.01253178
Outside_subtitle,0.118533038,0.6163892,0.021445182,0.161233008,0.069475305,0.012924371
OVERLORD__The_Sacred_Kingdom_subtitle,0.093731201,0.540564969,0.017503232,0.264733211,0.073942779,0.00952461
Paddington_in_Peru_subtitle,0.102737572,0.537907241,0.01713273,0.240409532,0.088769354,0.013043571
Panama_subtitle,0.08996452,0.473020975,0.019260891,0.314201552,0.090271592,0.01328047
Pan_s_Labyrinth_subtitle,0.087610762,0.510666917,0.029269221,0.28601148,0.07054893,0.015892689
Parasite_subtitle,0.07908901,0.493937421,0.019436779,0.300576944,0.089084575,0.017875269
PAW_Patrol__The_Mighty_Movie_subtitle,0.08737004,0.543109229,0.018604916,0.253311777,0.079993671,0.017610368
Percy_Jackson___the_Olympians__The_Lightning_Thief_subtitle,0.084111173,0.524426048,0.02077589,0.281875166,0.077214276,0.011597447
Perfume__The_Story_of_a_Murderer_subtitle,0.0804896,0.517611126,0.026965429,0.28558988,0.07349432,0.015849643
Pieces_of_a_Woman_subtitle,0.087741976,0.584436816,0.02241732,0.222422827,0.069400141,0.013580919
Pleasure_subtitle,0.059441301,0.615633542,0.02672303,0.231697773,0.050861196,0.015643156
Queen_of_Hearts_subtitle,0.102611478,0.489376566,0.016568594,0.282618551,0.099130714,0.009694096
Quo_Vadis__Aida__subtitle,0.081763341,0.460150441,0.01467485,0.333858878,0.100563049,0.008989439
Ready_or_Not_subtitle,0.101644935,0.505839881,0.025133336,0.286914355,0.068739738,0.011727756
Revelations_subtitle,0.128925655,0.465132214,0.017288579,0.260512702,0.112497851,0.015642995
Riders_of_Justice_subtitle,0.121760938,0.46567461,0.014492545,0.286678683,0.10152848,0.009864743
Rio_2_subtitle,0.076186832,0.576727626,0.018280772,0.249391422,0.065081819,0.014331529
Robin_Hood_subtitle,0.101997295,0.443719179,0.021163905,0.355466504,0.067515502,0.010137613
Room_in_Rome_subtitle,0.107841219,0.458750793,0.01801381,0.318197368,0.084697217,0.012499597
Room_subtitle,0.081779181,0.541788352,0.027080183,0.243171133,0.096121293,0.010059857
RRR_subtitle,0.093508731,0.468178141,0.0187087,0.317132729,0.09304414,0.009427562
Rubikon_subtitle,0.124169074,0.537191752,0.012309733,0.261858603,0.052919622,0.01155121
R_M_N__subtitle,0.084871332,0.471778224,0.018808484,0.328547426,0.086877313,0.009117219
SAS__Red_Notice_subtitle,0.088189214,0.496890868,0.021976113,0.302321531,0.081127718,0.009494551
SeeFood_subtitle,0.071124258,0.520658552,0.017996222,0.306146595,0.069928687,0.014145685
Severance_subtitle,0.089238361,0.488644045,0.0215272,0.292619589,0.096024705,0.011946102
Shirkers_subtitle,0.137661234,0.411623856,0.02107232,0.280686692,0.128978085,0.01997781
Sicario__Day_of_the_Soldado_subtitle,0.071996013,0.507302034,0.012042007,0.316394253,0.083644117,0.008621577
Sisu_subtitle,0.158603653,0.382091326,0.010608027,0.355164011,0.073889528,0.019643464
Snails_in_the_Rain_subtitle,0.098304397,0.456232783,0.019697637,0.305764861,0.107087458,0.012912864
Sniper__The_White_Raven_subtitle,0.071323184,0.53440533,0.013565751,0.290797803,0.081131137,0.008776803
Snowpiercer_subtitle,0.097314437,0.47193332,0.019952159,0.32008062,0.081299944,0.009419519
Solaris_subtitle,0.131491282,0.442496018,0.023854383,0.28297087,0.109672375,0.009515077
Solo_Leveling__ReAwakening__subtitle,0.10977818,0.51376291,0.031412598,0.265222488,0.0682679,0.011555922
Sonic_the_Hedgehog_3_subtitle,0.093530452,0.515066362,0.017406297,0.276170788,0.084369187,0.013456912
Spirited_Away_subtitle,0.112328093,0.495264728,0.017656648,0.277571228,0.08341199,0.013767314
Stalker_subtitle,0.119233211,0.39892859,0.018595719,0.350080618,0.102102033,0.011059828
Sujo_subtitle,0.096720745,0.449888906,0.017074002,0.330928055,0.093880633,0.011507661
Surongo_subtitle,0.086841418,0.417784733,0.021269317,0.381868603,0.081822097,0.01041383
Survive_subtitle,0.104036062,0.439553549,0.012795337,0.340608174,0.092468388,0.010538489
Taming_the_Garden_subtitle,0.112775168,0.400918545,0.011367602,0.382596491,0.079721116,0.01262108
Taste_of_Cherry_subtitle,0.11675766,0.481074302,0.018732816,0.285628015,0.087804845,0.010002364
Taste_subtitle,0.094839052,0.526517032,0.01483077,0.26499071,0.086998593,0.011823849
The_33_subtitle,0.096459088,0.530620143,0.017734254,0.273996752,0.071601036,0.009588725
The_Attack_subtitle,0.116926156,0.402510209,0.017965768,0.33088713,0.118393561,0.013317177
The_Band_s_Visit_subtitle,0.101790219,0.506869569,0.036436896,0.266598227,0.077366801,0.01093829
The_Best_Exotic_Marigold_Hotel_subtitle,0.108415198,0.543963454,0.025994077,0.231762118,0.077118388,0.012746763
The_Blazing_Sun_subtitle,0.097575248,0.40922486,0.017354553,0.364437422,0.10036101,0.011046906
The_Book_of_Sun_subtitle,0.090295103,0.545199435,0.029492331,0.227064116,0.090921997,0.017027015
The_Bourne_Identity_subtitle,0.105458969,0.480129926,0.013499446,0.282231935,0.108431967,0.010247756
The_Bridge_Curse_subtitle,0.113646077,0.403619187,0.013653942,0.32619857,0.127475432,0.015406794
The_Brothers_Grimm_subtitle,0.090589814,0.483339746,0.021301235,0.307365843,0.085207361,0.012196004
The_Chronicles_of_Narnia__The_Lion__the_Witch_and_the_Wardrobe_subtitle,0.103143002,0.484625288,0.021761145,0.299018181,0.079687978,0.011764405
The_Colony_subtitle,0.09921383,0.465326385,0.020548834,0.308105139,0.092687661,0.014118157
The_Convert_subtitle,0.093550195,0.534123318,0.019615862,0.274314266,0.069117428,0.009278931
The_Count_of_Monte_Cristo_subtitle,0.117337022,0.467307694,0.031050791,0.284572718,0.089742991,0.009988784
The_Devil_Conspiracy_subtitle,0.076193917,0.480278168,0.026125968,0.336021413,0.067343694,0.014036837
The_Emigrant_subtitle,0.115555182,0.432467906,0.025822315,0.332696926,0.082428069,0.011029601
The_Funeral_subtitle,0.094525924,0.494549919,0.01619336,0.285247876,0.098719338,0.010763588
The_Girl_with_the_Dragon_Tattoo_subtitle,0.125133518,0.452612172,0.016782705,0.282636172,0.108329633,0.014505798
The_Girl_with_the_Needle_subtitle,0.117901838,0.491496211,0.024485152,0.262830076,0.094781461,0.00850526
The_Gods_Must_Be_Crazy_subtitle,0.11482805,0.435496553,0.017789957,0.316800948,0.098399133,0.016685361
The_Good__the_Bad_and_the_Ugly_subtitle,0.110524545,0.497187855,0.01568984,0.285821611,0.082091161,0.008684988
The_Hitman_s_Bodyguard_subtitle,0.091068167,0.487800639,0.021329022,0.317371932,0.071673771,0.01075647
The_Hobbit__The_Battle_of_the_Five_Armies_subtitle,0.112885768,0.449095073,0.018703288,0.340572311,0.070384539,0.008359022
The_House_That_Jack_Built_subtitle,0.105894866,0.46860037,0.019164276,0.300731697,0.092616257,0.012992534
The_Hundred_Foot_Journey_subtitle,0.078071461,0.562935415,0.021244183,0.257459399,0.067285225,0.013004318
The_Hunt_subtitle,0.087172877,0.449088136,0.018492254,0.35020826,0.08244753,0.012590942
The_Inseparables_subtitle,0.083601516,0.542599996,0.01543565,0.256946213,0.084292711,0.017123914
The_Lair_subtitle,0.092042696,0.440309482,0.017090511,0.350907267,0.09009552,0.009554525
The_Last_Breath_subtitle,0.098058222,0.53397278,0.016613223,0.269719904,0.071502355,0.010133518
The_Last_Samurai_subtitle,0.093049377,0.499975958,0.01668547,0.316511727,0.062005599,0.011771869
The_Lego_Batman_Movie_subtitle,0.074142981,0.543160702,0.018128113,0.282117552,0.068124979,0.014325674
The_Lobster_subtitle,0.12726946,0.515170302,0.026362586,0.215994939,0.105787469,0.009415242
The_Long_Ships_subtitle,0.098956666,0.475781011,0.020629912,0.313774248,0.082326054,0.008532108
The_Next_365_Days_subtitle,0.097428289,0.470453773,0.023884099,0.308826107,0.085181361,0.014226369
The_Night_Comes_for_Us_subtitle,0.102932528,0.408577138,0.013685108,0.41324674,0.05360583,0.007952655
The_Nutcracker_subtitle,0.092584431,0.469094233,0.018076537,0.306743565,0.094714219,0.018787018
The_Painted_Bird_subtitle,0.090871524,0.388677832,0.023457928,0.431395032,0.058002454,0.00759523
The_Perfect_Candidate_subtitle,0.084056882,0.601321016,0.015123965,0.22824026,0.062402937,0.008854939
The_Pig__the_Snake_and_the_Pigeon_subtitle,0.112524573,0.495319302,0.016707042,0.270107906,0.096558863,0.008782314
The_Price_of_Money__A_Largo_Winch_Adventure_subtitle,0.104277702,0.432507714,0.014936949,0.347289605,0.091000389,0.009987641
The_Proud_and_Damned_subtitle,0.095885362,0.540335755,0.025314276,0.26189307,0.066274538,0.010296998
The_Raid_2_subtitle,0.098059946,0.508171063,0.0155275,0.310518187,0.060289387,0.007433916
The_Raid_subtitle,0.112301483,0.44342237,0.012452917,0.340973369,0.079543947,0.011305917
The_Rifleman_subtitle,0.099208029,0.433004278,0.01635332,0.36447068,0.07624865,0.010715045
The_Rising_Hawk_subtitle,0.091979161,0.517002871,0.020739165,0.296967867,0.06450165,0.00880929
The_Rule_of_Jenny_Pen_subtitle,0.083891431,0.559479589,0.022115347,0.244190341,0.078581233,0.011742061
The_Secret_in_Their_Eyes_subtitle,0.115518908,0.43731914,0.018645662,0.323824561,0.093452839,0.01123889
The_Settlers_subtitle,0.08290165,0.457345861,0.019099479,0.354996737,0.072940562,0.012715711
The_Shadow_Strays_subtitle,0.03665754,0.424618254,0.268082176,0.232082653,0.034013429,0.00454602
The_Sonata_subtitle,0.098785105,0.502300825,0.021850311,0.24311634,0.115032443,0.018914973
The_Soul_Eater_subtitle,0.101611129,0.413156646,0.015509692,0.328693306,0.126221829,0.014807396
The_Substance_subtitle,0.079260515,0.580948442,0.023127158,0.242558831,0.06115068,0.012954375
The_Teacher_subtitle,0.108343926,0.448171995,0.012477585,0.344408185,0.074077697,0.012520613
The_Third_Wife_subtitle,0.100758463,0.459685459,0.0450769,0.306708202,0.079025113,0.008745866
The_Tin_Drum_subtitle,0.107336418,0.490781809,0.026019492,0.286243898,0.078737482,0.010880902
The_Trap_subtitle,0.120638622,0.438219434,0.017964249,0.33086787,0.082193362,0.01011646
The_Tribe_subtitle,0.073947862,0.076306105,0.01213639,0.601717472,0.226125643,0.009766516
The_Tsugua_Diaries_subtitle,0.089691814,0.508045744,0.017770352,0.277515338,0.094124207,0.012852543
The_White_Tiger_subtitle,0.094656111,0.501627025,0.020308877,0.302110074,0.07032768,0.010970233
The_World_Is_Big_and_Salvation_Lurks_Around_the_Corner_subtitle,0.100418224,0.480747447,0.019571647,0.303812452,0.086774965,0.008675268
Three_Colors__Blue_subtitle,0.139388818,0.484839926,0.027863194,0.233012843,0.105690476,0.009204744
Through_My_Window_subtitle,0.089360058,0.513477296,0.037546573,0.265252074,0.084826254,0.00953776
Tiger_Stripes_subtitle,0.097085479,0.462453117,0.017076063,0.322070828,0.091725144,0.009589369
Touch_subtitle,0.100305322,0.505409851,0.024929901,0.26837345,0.087052062,0.01392941
To_a_Land_Unknown_subtitle,0.097349194,0.575664893,0.019469342,0.212328068,0.078664407,0.016524098
Trauma_subtitle,0.079806176,0.461252636,0.021279027,0.351309951,0.074110483,0.012241726
Triangle_of_Sadness_subtitle,0.070891632,0.554336637,0.023495239,0.269282596,0.068755537,0.013238359
Troll_subtitle,0.105291499,0.477711769,0.016434021,0.284994075,0.102116212,0.013452424
Twilight_of_the_Warriors__Walled_In_subtitle,0.113891421,0.42816808,0.014066753,0.354110735,0.080022122,0.009740886
Underdogs_subtitle,0.104937366,0.481775932,0.018369581,0.305332946,0.078060219,0.011523956
Underground_subtitle,0.084616524,0.411996474,0.023353223,0.391121699,0.07835894,0.010553137
Urban_Legend_subtitle,0.10773246,0.45707829,0.018216878,0.29499408,0.107074014,0.014904276
Wajib_subtitle,0.089968705,0.520177816,0.020862754,0.285307045,0.072639605,0.011044076
Well_Tempered_Corpses_subtitle,0.093972788,0.578048601,0.019233082,0.223519197,0.067993188,0.017233147
When_Evil_Lurks_subtitle,0.139354759,0.352694024,0.014614149,0.351616347,0.133006257,0.008714463
Who_s_Singin__Over_There__subtitle,0.089096967,0.366078897,0.013695777,0.443551628,0.076445397,0.011131333
Wild_Awakening_subtitle,0.089227001,0.423887957,0.034857236,0.347964541,0.08914519,0.014918076
Wild_Tales_subtitle,0.097566678,0.453647707,0.016824751,0.335157366,0.087098249,0.009705251
Wolfwalkers_subtitle,0.086088593,0.470376527,0.015934915,0.331920131,0.084575191,0.011104641
Woman_at_War_subtitle,0.103041779,0.469617195,0.014317133,0.291826855,0.111330901,0.009866136
Y_Tu_Mamá_También_subtitle,0.098334981,0.435030746,0.026056819,0.357783371,0.07294963,0.009844454
Zero_Point_subtitle,0.078921336,0.490718901,0.014895487,0.325954076,0.079037039,0.010473161
